date,value,sourceName
2022-12-02 04:38:00 +0100,74,Alpha Watch
2022-12-02 04:39:00 +0100,66,Alpha Watch
2022-12-02 04:40:00 +0100,72,Alpha Watch
2022-12-02 04:41:00 +0100,69,Alpha Watch
2022-12-02 04:42:00 +0100,74,Alpha Watch
2022-12-02 04:44:00 +0100,75,Alpha Watch
2022-12-02 04:45:00 +0100,73,Alpha Watch
2022-12-02 04:46:00 +0100,77,Alpha Watch
2022-12-02 04:47:00 +0100,75,Alpha Watch
2022-12-02 04:48:00 +0100,71,Alpha Watch
2022-12-02 04:49:00 +0100,72,Alpha Watch
2022-12-02 04:50:00 +0100,74,Alpha Watch
2022-12-02 04:51:00 +0100,75,Alpha Watch
2022-12-02 04:52:00 +0100,74,Alpha Watch
2022-12-02 04:54:00 +0100,76,Alpha Watch
2022-12-02 04:55:00 +0100,74,Alpha Watch
2022-12-02 04:56:00 +0100,74,Alpha Watch
2022-12-02 04:57:00 +0100,72,Alpha Watch
2022-12-02 04:58:00 +0100,75,Alpha Watch
2022-12-02 04:59:00 +0100,70,Alpha Watch
2022-12-02 05:00:00 +0100,69,Alpha Watch
2022-12-02 05:01:00 +0100,67,Alpha Watch
2022-12-02 05:02:00 +0100,68,Alpha Watch
2022-12-02 05:04:00 +0100,65,Alpha Watch
2022-12-02 05:05:00 +0100,66,Alpha Watch
2022-12-02 05:06:00 +0100,66,Alpha Watch
2022-12-02 05:07:00 +0100,67,Alpha Watch
2022-12-02 05:08:00 +0100,65,Alpha Watch
2022-12-02 05:09:00 +0100,68,Alpha Watch
2022-12-02 05:10:00 +0100,67,Alpha Watch
2022-12-02 05:11:00 +0100,62,Alpha Watch
2022-12-02 05:12:00 +0100,64,Alpha Watch
2022-12-02 05:14:00 +0100,69,Alpha Watch
2022-12-02 05:15:00 +0100,71,Alpha Watch
2022-12-02 05:16:00 +0100,68,Alpha Watch
2022-12-02 05:17:00 +0100,69,Alpha Watch
2022-12-02 05:18:00 +0100,69,Alpha Watch
2022-12-02 05:19:00 +0100,69,Alpha Watch
2022-12-02 05:20:00 +0100,68,Alpha Watch
2022-12-02 05:21:00 +0100,69,Alpha Watch
2022-12-02 05:22:00 +0100,70,Alpha Watch
2022-12-02 05:24:00 +0100,69,Alpha Watch
2022-12-02 05:25:00 +0100,67,Alpha Watch
2022-12-02 05:26:00 +0100,69,Alpha Watch
2022-12-02 05:27:00 +0100,69,Alpha Watch
2022-12-02 05:28:00 +0100,68,Alpha Watch
2022-12-02 05:29:00 +0100,69,Alpha Watch
